Legislatura,nome parlamentar,total_dias_de_mandato
54,NELSON BORNIER,6
54,NELSON BORNIER,682
54,NELSON MARCHEZAN JUNIOR,1460
54,NELSON MARQUEZELLI,1460
54,NELSON MEURER,1460
54,NELSON PADOVANI,1460
54,NELSON PELLEGRINO,526
54,NELSON PELLEGRINO,783
54,NELSON PELLEGRINO,1
54,NERI GELLER,266
54,NEWTON CARDOSO,1460
54,NEWTON LIMA,1460
54,NICE LOBÃO,1177
54,NICE LOBÃO,151
54,NILDA GONDIM,322
54,NILDA GONDIM,1017
54,NILMAR RUIZ,217
54,NILMAR RUIZ,120
54,NILMÁRIO MIRANDA,758
54,NILSON LEITÃO,1298
54,NILSON PINTO,1
54,NILSON PINTO,764
54,NILTON CAPIXABA,1460
54,ODAIR CUNHA,1431
54,ODÍLIO BALBINOTTI,1089
54,OLIVEIRA FILHO,284
54,OLIVEIRA FILHO,43
54,ONOFRE SANTO AGOSTINI,1460
54,ONYX LORENZONI,1460
54,OSMAR JÚNIOR,1460
54,OSMAR SERRAGLIO,1460
54,OSMAR TERRA,1460
54,OSVALDO COELHO,29
54,OSVALDO REIS,758
54,OTAVIO LEITE,1460
54,OTONIEL LIMA,1460
54,OZIEL OLIVEIRA,1460
54,PADRE JOÃO,1460
54,PADRE TON,1460
54,PAES LANDIM,1460
54,PASTOR EURICO,1460
54,PASTOR MARCO FELICIANO,1460
54,PAUDERNEY AVELINO,703
54,PAUDERNEY AVELINO,409
54,PAULÃO,758
54,PAULO ABI-ACKEL,1460
54,PAULO BORNHAUSEN,28
54,PAULO BORNHAUSEN,7
54,PAULO BORNHAUSEN,49
54,PAULO BORNHAUSEN,302
54,PAULO CESAR QUARTIERO,1428
54,PAULO FEIJÓ,1268
54,PAULO FERREIRA,733
54,PAULO FOLETTO,1460
54,PAULO FREIRE,1460
54,PAULO HENRIQUE LUSTOSA,20
54,PAULO HENRIQUE LUSTOSA,159
54,PAULO HENRIQUE LUSTOSA,25
54,PAULO MAGALHÃES,1460
54,PAULO MALUF,1460
54,PAULO MARINHO JUNIOR,115
54,PAULO PEREIRA DA SILVA,1460
54,PAULO PIAU,699
54,PAULO PIMENTA,1460
54,PAULO RUBEM SANTIAGO,1446
54,PAULO TADEU,3
54,PAULO TADEU,125
54,PAULO TEIXEIRA,1460
54,PAULO WAGNER,1420
54,PEDRO CHAVES,1460
54,PEDRO EUGÊNIO,1460
54,PEDRO FERNANDES,63
54,PEDRO FERNANDES,299
54,PEDRO GUERRA,117
54,PEDRO HENRY,1
54,PEDRO HENRY,758
54,PEDRO NOVAIS,1
54,PEDRO NOVAIS,1233
