distancia,vagas,eleitores,cota,valor
624,53,15700966,35720.85,1349619.13
1900,8,1175733,43300.63,177552.20
1775,8,2327451,42360.13,224690.16
2496,8,333464,45240.67,301653.58
1900,8,1175733,43300.63,158954.82
1060,39,10393170,38638.99,1695081.21
2496,8,333464,45240.67,319401.55
1314,16,5070212,39505.92,331737.98
878,8,1818937,40170.98,315080.15
1775,8,2373619,42360.13,261779.21
1313,10,2370894,40599.91,377819.96
1314,16,5070212,39505.92,318807.99
1932,8,2428098,43198.26,389214.32
1313,10,2370894,40599.91,361427.35
1524,18,4537237,41779.83,466614.73
1524,18,4497336,41779.83,695874.64
873,70,31998432,36671.67,3082513.34
0,8,2084356,30416.80,139377.17
1775,8,2373619,42360.13,280380.24
1524,18,4537237,41779.83,526001.97
173,17,4331733,35135.20,497780.01
173,17,4331733,35135.20,612061.69
1592,17,5188450,41855.59,548367.43
2246,8,547680,44260.60,227800.33
620,8,996887,39131.75,285650.98
1592,17,5188450,41855.59,456179.96
2246,8,547680,44260.60,260900.88
1657,25,6356307,41304.94,951166.69
1081,30,7971087,38500.00,820118.11
1932,8,2428098,43198.26,315308.44
933,46,12408340,35388.11,1531397.86
1791,8,512110,43002.92,244622.90
1592,17,5188450,41855.59,706831.53
1791,8,455514,43002.92,314397.09
1716,12,2835882,41660.70,413680.70
1081,30,7971087,38500.00,906612.09
620,8,1039439,39131.75,286800.30
1932,8,2226891,43198.26,363029.73
873,70,33040411,36671.67,2040240.33
1900,8,1127154,43300.63,290886.43
933,46,12408340,35388.11,1659289.92
1619,31,8354732,40504.04,885876.44
1524,18,4497336,41779.83,502044.77
624,53,15248681,35720.85,2194695.10
2246,8,547680,44260.60,390505.92
878,8,1818937,40170.98,466912.22
0,8,2084356,30416.80,141213.52
620,8,996887,39131.75,221051.78
1716,12,2867649,41660.70,420708.61
873,8,2189703,39056.17,245186.39
173,17,4454497,35135.20,436376.89
1775,8,2327451,42360.13,419260.66
873,70,31998432,36671.67,1719121.61
1592,17,5499283,41855.59,725378.13
2496,8,333464,45240.67,286586.56
1524,18,4537237,41779.83,610007.91
933,46,12141145,35388.11,1675583.68
1687,22,6344483,42079.91,1080653.54
933,46,12141145,35388.11,1370105.03
0,8,1897677,30416.80,244618.64
1775,8,2327451,42360.13,321319.51
1619,31,8354732,40504.04,568225.84
1524,18,4497336,41779.83,592109.38
0,8,2084356,30416.80,123428.54
878,8,1877982,40170.98,248651.43
1292,8,1577058,39767.40,344579.30
1292,8,1577058,39767.40,317283.70
933,46,12408340,35388.11,2001543.34
1592,17,5188450,41855.59,823717.74
1657,25,6570072,41304.94,1076486.36
1060,39,10393170,38638.99,1040926.95
624,53,15248681,35720.85,1830595.02
1060,39,10393170,38638.99,1811863.97
1657,25,6570072,41304.94,949966.85
1657,25,6356307,41304.94,922101.13
173,17,4331733,35135.20,509345.07
1524,18,4497336,41779.83,809794.39
1060,39,10393170,38638.99,1605375.20
1619,31,8354732,40504.04,687250.40
1775,8,2373619,42360.13,229624.75
2496,8,333464,45240.67,324432.10
1900,8,1175733,43300.63,232867.44
1657,25,6570072,41304.94,1124844.50
1060,39,10185417,38638.99,1831749.24
1791,8,512110,43002.92,259134.78
1657,25,6570072,41304.94,1167257.23
1292,8,1454165,39767.40,344428.90
1524,18,4497336,41779.83,825675.04
1619,31,8354732,40504.04,757888.35
1313,10,2370894,40599.91,363227.30
173,17,4454497,35135.20,488183.45
1932,8,2428098,43198.26,356670.27
1314,16,5070212,39505.92,441773.22
947,10,2653536,37052.05,321140.96
0,8,2084356,30416.80,174147.12
1485,9,1995727,40572.24,461358.03
933,46,12141145,35388.11,1052030.76
947,10,2653536,37052.05,429164.00
0,8,2084356,30416.80,93554.46
873,8,2330281,39056.17,157542.79
1657,25,6570072,41304.94,664887.17
878,8,1877982,40170.98,259238.18
1485,9,1995727,40572.24,429821.28
947,10,2754728,37052.05,217461.07
620,8,996887,39131.75,296017.34
2496,8,299558,45240.67,300769.98
933,46,12408340,35388.11,1436419.02
873,8,2189703,39056.17,267425.29
1592,17,5188450,41855.59,534722.78
1060,39,10393170,38638.99,1202501.92
1292,8,1454165,39767.40,259259.21
1313,10,2345694,40599.91,374966.91
2496,8,333464,45240.67,326988.11
933,46,12141145,35388.11,629606.60
947,10,2653536,37052.05,299140.72
1081,30,7865950,38500.00,1049135.81
1313,10,2345694,40599.91,419269.33
0,8,1897677,30416.80,182150.46
2246,8,506724,44260.60,462649.03
2496,8,333464,45240.67,363103.33
620,8,996887,39131.75,221470.24
1292,8,1577058,39767.40,434537.94
1619,31,8354732,40504.04,1458693.81
1524,18,4537237,41779.83,521884.87
1900,8,1127154,43300.63,325820.14
173,17,4331733,35135.20,525534.43
2246,8,506724,44260.60,398621.23
2496,8,299558,45240.67,285202.84
1775,8,2373619,42360.13,315929.17
1313,10,2370894,40599.91,363755.94
1716,12,2867649,41660.70,408199.45
1791,8,512110,43002.92,446882.00
1313,10,2345694,40599.91,442958.94
878,8,1818937,40170.98,340586.68
