ano,legislatura,anolegislatura,uf,partido,tipo,representatividade,distancia,vagas,eleitores,cota,valor
2018,55,4,AC,PSDB,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,54,2246,8,506724,44260.60,1674.25
2018,55,4,AC,PCdoB,MANUTENÇÃO DE ESCRITÓRIO,10,2246,8,506724,44260.60,15000.00
2017,55,3,AC,PSB,TELEFONIA,34,2246,8,506724,44260.60,8494.69
2016,55,2,AC,PCdoB,MANUTENÇÃO DE ESCRITÓRIO,10,2246,8,506724,44260.60,15215.00
2016,55,2,AC,PT,ASSINATURA DE PUBLICAÇÕES,68,2246,8,506724,44260.60,5484.00
2015,55,1,AC,PSDB,LOCAÇÃO DE AUTOMÓVEIS,54,2246,8,506724,44260.60,16684.05
2018,55,4,AC,PSDB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",54,2246,8,506724,44260.60,10996.62
2015,55,1,AC,DEM,TELEFONIA,21,2246,8,506724,44260.60,13091.10
2016,55,2,AC,PT,MANUTENÇÃO DE ESCRITÓRIO,68,2246,8,506724,44260.60,231880.26
2015,55,1,AC,PV,TELEFONIA,8,2246,8,506724,44260.60,235.81
2015,55,1,AC,PT,SERVIÇOS POSTAIS,68,2246,8,506724,44260.60,3797.58
2016,55,2,AC,PT,LOCAÇÃO OU FRETAMENTO DE AERONAVES,68,2246,8,506724,44260.60,23970.00
2016,55,2,AC,PT,DIVULGAÇÃO MANDATO,68,2246,8,506724,44260.60,236455.35
2018,55,4,AC,PT,COMBUSTÍVEIS E LUBRIFICANTES,68,2246,8,506724,44260.60,158916.33
2016,55,2,AC,PSDB,LOCAÇÃO OU FRETAMENTO DE AERONAVES,54,2246,8,506724,44260.60,14500.00
2016,55,2,AC,PT,COMBUSTÍVEIS E LUBRIFICANTES,68,2246,8,506724,44260.60,158853.08
2015,55,1,AC,DEM,DIVULGAÇÃO MANDATO,21,2246,8,506724,44260.60,164570.00
2017,55,3,AC,DEM,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",21,2246,8,506724,44260.60,694.00
2017,55,3,AC,PT,TELEFONIA,68,2246,8,506724,44260.60,29267.06
2016,55,2,AC,PSB,DIVULGAÇÃO MANDATO,34,2246,8,506724,44260.60,70550.00
2017,55,3,AC,PCdoB,MANUTENÇÃO DE ESCRITÓRIO,10,2246,8,506724,44260.60,50538.00
2018,55,4,AC,DEM,DIVULGAÇÃO MANDATO,21,2246,8,506724,44260.60,171893.34
2016,55,2,AC,MDB,TELEFONIA,65,2246,8,506724,44260.60,40114.64
