"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"89434","2017","5","55","PB","PT",68,1716,12,2835882,41660.7,3856.37,"1147"
"99636","2017","5","55","PE","PSB",34,1657,25,6356307,41304.94,6842.94,"1201"
"102262","2017","5","55","PE","PROS",11,1657,25,6356307,41304.94,9957.35,"1260"
"71497","2017","5","55","MS","PSB",34,878,8,1818937,40170.98,300,"890"
"151274","2017","5","55","RS","PODEMOS",9,1619,31,8392033,40504.04,2499.59,"1933"
"87876","2017","6","55","PB","PTB",25,1716,12,2835882,41660.7,9435,"1092"
"135648","2017","6","55","RN","PP",38,1775,8,2327451,42360.13,1184.51,"1686"
"105713","2017","6","55","PI","MDB",65,1313,10,2345694,40599.91,992.1,"1300"
"31922","2017","6","55","CE","AVANTE",2,1687,22,6271554,42079.91,1436.43,"378"
"32312","2017","6","55","CE","PODEMOS",9,1687,22,6271554,42079.91,172.5,"392"
"7745","2017","6","55","AL","PODEMOS",9,1485,9,1995727,40572.24,8500,"102"
"179798","2017","6","55","SP","PSL",1,873,70,31998432,36671.67,1242.38,"2231"
"115315","2017","6","55","PR","MDB",65,1081,30,7865950,38500,1931.71,"1486"
"160221","2017","6","55","SC","PSDB",54,1314,16,4859324,39505.92,12240.6,"1967"
"39072","2017","6","55","ES","MDB",65,947,10,2653536,37052.05,5600,"503"
"85023","2017","7","55","PA","PTB",25,1592,17,5188450,41855.59,25000,"1010"
"185104","2017","7","55","TO","PROS",11,620,8,996887,39131.75,20854.9,"2247"
"140580","2017","7","55","RR","PSDB",54,2496,8,299558,45240.67,14222.82,"1732"
"99588","2017","7","55","PE","PATRIOTA",5,1657,25,6356307,41304.94,7480.45,"1173"
"110224","2017","7","55","PR","PSC",13,1081,30,7865950,38500,1109.52,"1366"
"120073","2017","7","55","RJ","SOLIDARIEDADE",15,933,46,12141145,35388.11,19000,"1478"
"47336","2017","7","55","GO","PDT",20,173,17,4331733,35135.2,12050,"568"
"175549","2017","7","55","SP","PV",8,873,70,31998432,36671.67,488.18,"2099"
"148760","2017","7","55","RS","PODEMOS",9,1619,31,8392033,40504.04,1231.2,"1843"
"147160","2017","8","55","RS","PDT",20,1619,31,8392033,40504.04,17380,"1829"
"97984","2017","8","55","PE","PTB",25,1657,25,6356307,41304.94,3900,"1149"
"30198","2017","8","55","CE","PT",68,1687,22,6271554,42079.91,1293.04,"367"
"86425","2017","8","55","PA","DEM",21,1592,17,5188450,41855.59,270.34,"1054"
"120624","2017","8","55","RJ","PP",38,933,46,12141145,35388.11,1113.67,"1514"
"23623","2017","8","55","BA","PCdoB",10,1060,39,10185417,38638.99,259,"319"
"105602","2017","8","55","PI","DEM",21,1313,10,2345694,40599.91,4444.2,"1289"
"2973","2017","8","55","AC","PCdoB",10,2246,8,506724,44260.6,200,"29"
"107906","2017","8","55","PI","PODEMOS",9,1313,10,2345694,40599.91,3500,"1337"
"139465","2017","9","55","RO","PTB",25,1900,8,1127154,43300.63,1914,"1710"
"69282","2017","9","55","MG","PCdoB",10,624,53,15248681,35720.85,430.23,"809"
"161499","2017","9","55","SC","PT",68,1314,16,4859324,39505.92,16250,"1956"
"143745","2017","9","55","RR","MDB",65,2496,8,299558,45240.67,1406.54,"1738"
"126142","2017","9","55","RJ","PL",34,933,46,12141145,35388.11,23040.73,"1591"
"148156","2017","9","55","RS","MDB",65,1619,31,8392033,40504.04,18903.1,"1808"
"49398","2017","9","55","GO","PSDB",54,173,17,4331733,35135.2,13000,"608"
"33429","2017","9","55","CE","PCdoB",10,1687,22,6271554,42079.91,264,"398"
"122605","2017","9","55","RJ","PCdoB",10,933,46,12141145,35388.11,2816.07,"1526"
"132018","2017","10","55","RN","PSD",36,1775,8,2327451,42360.13,9000,"1611"
"72644","2017","10","55","MS","MDB",65,878,8,1818937,40170.98,649.16,"864"
"50150","2017","10","55","MA","PATRIOTA",5,1524,18,4497336,41779.83,14225.08,"610"
"86922","2017","10","55","PB","PDT",20,1716,12,2835882,41660.7,11264.52,"1026"
"19749","2017","10","55","BA","PP",38,1060,39,10185417,38638.99,821.21,"226"
"179911","2017","10","55","SP","PTB",25,873,70,31998432,36671.67,729.64,"2170"
"179345","2017","10","55","SP","DEM",21,873,70,31998432,36671.67,8013.86,"2161"
"149220","2017","10","55","RS","PT",68,1619,31,8392033,40504.04,30935.05,"1837"
"84587","2017","10","55","PA","PODEMOS",9,1592,17,5188450,41855.59,1165.8,"976"
"3623","2017","11","55","AC","PCdoB",10,2246,8,506724,44260.6,260.69,"39"
"48000","2017","11","55","GO","PDT",20,173,17,4331733,35135.2,12050,"567"
"80544","2017","11","55","PA","MDB",65,1592,17,5188450,41855.59,5897.23,"958"
"144064","2017","11","55","RR","DEM",21,2496,8,299558,45240.67,9985.2,"1733"
"180025","2017","11","55","SP","PSB",34,873,70,31998432,36671.67,21700,"2151"
"176167","2017","11","55","SP","PSOL",5,873,70,31998432,36671.67,2354.02,"2065"
"163867","2017","11","55","SE","MDB",65,1292,8,1454165,39767.4,1732.23,"1965"
"38939","2017","11","55","ES","PSB",34,947,10,2653536,37052.05,198.27,"475"
"20499","2017","11","55","BA","PSDB",54,1060,39,10185417,38638.99,5340.51,"237"
