"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"132817","2016","10","55","RN","DEM",21,1775,8,2327451,42360.13,150,"1603"
"108258","2016","10","55","PR","PV",8,1081,30,7865950,38500,9182.77,"1301"
"29865","2016","10","55","CE","PL",34,1687,22,6271554,42079.91,24185,"339"
"149832","2016","10","55","RS","PSB",34,1619,31,8392033,40504.04,235.84,"1815"
"138180","2016","10","55","RO","REPUBLICANOS",21,1900,8,1127154,43300.63,3000,"1649"
"57274","2016","11","55","MG","AVANTE",2,624,53,15248681,35720.85,1796.57,"682"
"146318","2016","11","55","RS","PSD",36,1619,31,8392033,40504.04,79.73,"1719"
"176408","2016","11","55","SP","PSD",36,873,70,31998432,36671.67,6500,"2049"
"23231","2016","11","55","BA","REPUBLICANOS",21,1060,39,10185417,38638.99,6607.01,"286"
"21168","2016","11","55","BA","PL",34,1060,39,10185417,38638.99,1010.05,"234"
"183501","2016","11","55","TO","DEM",21,620,8,996887,39131.75,266,"2133"
"72672","2016","11","55","MS","PSB",34,878,8,1818937,40170.98,10739.24,"849"
"38741","2016","11","55","ES","MDB",65,947,10,2653536,37052.05,4123.08,"472"
"149274","2016","11","55","RS","REDE",NA,1619,31,8392033,40504.04,1494.77,"1785"
"47066","2016","12","55","GO","SOLIDARIEDADE",15,173,17,4331733,35135.2,5000,"517"
"51911","2016","12","55","MA","PODEMOS",9,1524,18,4497336,41779.83,1811.11,"595"
"22685","2016","12","55","BA","PSDB",54,1060,39,10185417,38638.99,8680,"272"
"149144","2016","12","55","RS","PSB",34,1619,31,8392033,40504.04,415.96,"1696"
"143531","2016","12","55","RR","DEM",21,2496,8,299558,45240.67,726.53,"1606"
"160979","2016","12","55","SC","CIDADANIA",10,1314,16,4859324,39505.92,2842.3,"1798"
"149352","2016","12","55","RS","PP",38,1619,31,8392033,40504.04,14362.02,"1700"
"147107","2016","12","55","RS","PDT",20,1619,31,8392033,40504.04,4596.31,"1653"
"74946","2016","12","55","MS","PSB",34,878,8,1818937,40170.98,395.75,"836"
"53127","2017","1","55","MA","PTB",25,1524,18,4497336,41779.83,1370.43,"606"
"148069","2017","1","55","RS","DEM",21,1619,31,8392033,40504.04,2333.31,"1676"
"106665","2017","1","55","PI","PTB",25,1313,10,2345694,40599.91,91.05,"1183"
"123814","2017","1","55","RJ","PSD",36,933,46,12141145,35388.11,643.14,"1439"
"144239","2017","1","55","RR","DEM",21,2496,8,299558,45240.67,4007.06,"1623"
"103197","2017","1","55","PE","SOLIDARIEDADE",15,1657,25,6356307,41304.94,6495.69,"1143"
"12756","2017","1","55","AP","MDB",65,1791,8,455514,43002.92,10500,"142"
"137601","2017","1","55","RO","PSD",36,1900,8,1127154,43300.63,325.69,"1542"
"114906","2017","1","55","PR","PSB",34,1081,30,7865950,38500,94.42,"1335"
"52672","2017","2","55","MA","CIDADANIA",10,1524,18,4497336,41779.83,110,"661"
"159825","2017","2","55","SC","MDB",65,1314,16,4859324,39505.92,633.96,"1927"
"146159","2017","2","55","RS","PSD",36,1619,31,8392033,40504.04,31413.78,"1775"
"57249","2017","2","55","MG","PSL",1,624,53,15248681,35720.85,10270.13,"713"
"102000","2017","2","55","PE","PDT",20,1657,25,6356307,41304.94,6500,"1225"
"170204","2017","2","55","SP","PODEMOS",9,873,70,31998432,36671.67,17146,"2044"
"4136","2017","2","55","AL","PTB",25,1485,9,1995727,40572.24,29000,"57"
"47485","2017","2","55","GO","REPUBLICANOS",21,173,17,4331733,35135.2,5541.27,"570"
"6834","2017","2","55","AL","PT",68,1485,9,1995727,40572.24,22700,"73"
"146266","2017","3","55","RS","PODEMOS",9,1619,31,8392033,40504.04,1558.45,"1834"
"85721","2017","3","55","PA","PTB",25,1592,17,5188450,41855.59,6000,"1061"
"36002","2017","3","55","DF","PSDB",54,0,8,1897677,30416.8,2554.85,"463"
"49024","2017","3","55","GO","PP",38,173,17,4331733,35135.2,430.15,"632"
"39994","2017","3","55","ES","DEM",21,947,10,2653536,37052.05,1295.35,"538"
"32661","2017","3","55","CE","PP",38,1687,22,6271554,42079.91,7616.07,"401"
"30679","2017","3","55","CE","PT",68,1687,22,6271554,42079.91,1587.48,"370"
"174571","2017","3","55","SP","MDB",65,873,70,31998432,36671.67,24049.77,"2132"
"123032","2017","3","55","RJ","MDB",65,933,46,12141145,35388.11,19237.5,"1581"
"75618","2017","3","55","MT","PT",68,873,8,2189703,39056.17,8700,"949"
"147348","2017","4","55","RS","PCdoB",10,1619,31,8392033,40504.04,387.71,"1817"
"22465","2017","4","55","BA","DEM",21,1060,39,10185417,38638.99,181,"297"
"151426","2017","4","55","RS","MDB",65,1619,31,8392033,40504.04,921.6,"1903"
"170281","2017","4","55","SP","PCdoB",10,873,70,31998432,36671.67,7607.65,"2063"
"49785","2017","4","55","MA","PDT",20,1524,18,4497336,41779.83,3679.26,"621"
"86768","2017","4","55","PB","PTB",25,1716,12,2835882,41660.7,526.72,"1056"
"125747","2017","4","55","RJ","PSB",34,933,46,12141145,35388.11,1478,"1614"
"88751","2017","4","55","PB","MDB",65,1716,12,2835882,41660.7,9698,"1099"
"45990","2017","4","55","GO","PT",68,173,17,4331733,35135.2,538,"544"
"53731","2017","5","55","MA","REPUBLICANOS",21,1524,18,4497336,41779.83,90.03,"704"
"106350","2017","5","55","PI","PODEMOS",9,1313,10,2345694,40599.91,137.86,"1323"
"40167","2017","5","55","ES","PP",38,947,10,2653536,37052.05,6772.39,"536"
"184294","2017","5","55","TO","REPUBLICANOS",21,620,8,996887,39131.75,2018.94,"2274"
"183233","2017","5","55","TO","PSD",36,620,8,996887,39131.75,6979.41,"2259"
"123884","2017","5","55","RJ","PT",68,933,46,12141145,35388.11,957.84,"1601"
"21589","2017","5","55","BA","PT",68,1060,39,10185417,38638.99,27973.15,"278"
"107966","2017","5","55","PR","PSB",34,1081,30,7865950,38500,1690.12,"1352"
"105721","2017","5","55","PI","MDB",65,1313,10,2345694,40599.91,10000,"1322"
"21025","2017","5","55","BA","PDT",20,1060,39,10185417,38638.99,1157,"267"
"7238","2017","6","55","AL","PSDB",54,1485,9,1995727,40572.24,994.32,"95"
"52228","2017","6","55","MA","CIDADANIA",10,1524,18,4497336,41779.83,311.58,"668"
"135941","2017","6","55","RN","PSDB",54,1775,8,2327451,42360.13,679.48,"1695"
"137676","2017","6","55","RO","DEM",21,1900,8,1127154,43300.63,148.55,"1705"
"7442","2017","6","55","AL","AVANTE",2,1485,9,1995727,40572.24,13298.75,"99"
"123918","2017","6","55","RJ","PCdoB",10,933,46,12141145,35388.11,1354,"1587"
"147601","2017","6","55","RS","PSD",36,1619,31,8392033,40504.04,2950,"1842"
"150998","2017","6","55","RS","PSDB",54,1619,31,8392033,40504.04,3000,"1916"
"63071","2017","6","55","MG","PSL",1,624,53,15248681,35720.85,7600,"832"
"58711","2017","6","55","MG","DEM",21,624,53,15248681,35720.85,17173,"752"
