"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"5141","2019","55","5","ES","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,947,10,2653536,37052.05,2340.8,"1"
"5798","2019","55","5","ES","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,947,10,2653536,37052.05,2433.86,"2"
"5413","2019","56","1","ES","PDT","PASSAGEM AÉREA",28,947,10,2754728,37052.05,94468.95,"2"
"5615","2019","56","1","ES","PDT","SERVIÇOS POSTAIS",28,947,10,2754728,37052.05,10755.74,"1"
"5779","2019","55","5","ES","PDT","TELEFONIA",20,947,10,2653536,37052.05,1186.01,"2"
"5687","2019","55","5","ES","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,947,10,2653536,37052.05,4400.82,"2"
"5376","2019","56","1","ES","PP","DIVULGAÇÃO MANDATO",38,947,10,2754728,37052.05,156619.78,"2"
"5401","2019","56","1","ES","PP","LOCAÇÃO DE AUTOMÓVEIS",38,947,10,2754728,37052.05,206589.53,"1"
"5468","2019","56","1","ES","PP","MANUTENÇÃO DE ESCRITÓRIO",38,947,10,2754728,37052.05,236588.62,"1"
"5701","2019","55","5","ES","PP","PASSAGEM AÉREA",38,947,10,2653536,37052.05,14649.01,"2"
"5690","2019","55","5","ES","PP","SERVIÇOS POSTAIS",38,947,10,2653536,37052.05,2962.38,"2"
"5276","2019","55","5","ES","PP","TELEFONIA",38,947,10,2653536,37052.05,1993.01,"1"
"5682","2019","55","5","ES","PSB","ASSESSORIA TÉCNICA/JURÍDICA",34,947,10,2653536,37052.05,6000,"2"
"5234","2019","55","5","ES","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,947,10,2653536,37052.05,2814.08,"1"
"5383","2019","56","1","ES","PSB","DIVULGAÇÃO MANDATO",32,947,10,2754728,37052.05,78765,"1"
"5591","2019","56","1","ES","PSB","MANUTENÇÃO DE ESCRITÓRIO",32,947,10,2754728,37052.05,71693.91,"2"
"5378","2019","56","1","ES","PSB","PASSAGEM AÉREA",32,947,10,2754728,37052.05,57256.9,"1"
"5557","2019","56","1","ES","PSB","SERVIÇOS POSTAIS",32,947,10,2754728,37052.05,1408.22,"1"
"5651","2019","55","5","ES","PSB","TELEFONIA",34,947,10,2653536,37052.05,976.78,"2"
"5532","2019","56","1","ES","PT","ASSESSORIA TÉCNICA/JURÍDICA",54,947,10,2754728,37052.05,70000,"1"
"5579","2019","56","1","ES","PT","DIVULGAÇÃO MANDATO",54,947,10,2754728,37052.05,108440,"2"
"5506","2019","56","1","ES","PT","LOCAÇÃO DE AUTOMÓVEIS",54,947,10,2754728,37052.05,38850,"2"
"5471","2019","56","1","ES","PT","MANUTENÇÃO DE ESCRITÓRIO",54,947,10,2754728,37052.05,41582.15,"2"
"5481","2019","56","1","ES","PT","PASSAGEM AÉREA",54,947,10,2754728,37052.05,43340.98,"1"
"5239","2019","55","5","ES","PT","TELEFONIA",68,947,10,2653536,37052.05,1571.31,"1"
"5518","2019","56","1","ES","UNIÃO","PASSAGEM AÉREA",52,947,10,2754728,37052.05,97056.46,"2"
"5882","2019","56","1","GO","MDB","COMBUSTÍVEIS E LUBRIFICANTES",34,173,17,4454497,35135.2,75805.65,"1"
"6374","2019","55","5","GO","MDB","DIVULGAÇÃO MANDATO",65,173,17,4331733,35135.2,4500,"2"
"6728","2019","56","1","GO","MDB","LOCAÇÃO DE AUTOMÓVEIS",34,173,17,4454497,35135.2,15000,"2"
"6160","2019","55","5","GO","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,173,17,4331733,35135.2,13013.16,"2"
"5943","2019","56","1","GO","MDB","SERVIÇOS POSTAIS",34,173,17,4454497,35135.2,3184.16,"1"
"6395","2019","55","5","GO","MDB","TELEFONIA",65,173,17,4331733,35135.2,2163.11,"1"
"6443","2019","55","5","GO","PDT","ASSESSORIA TÉCNICA/JURÍDICA",20,173,17,4331733,35135.2,12050,"2"
"6730","2019","56","1","GO","PDT","COMBUSTÍVEIS E LUBRIFICANTES",28,173,17,4454497,35135.2,27545.8,"2"
"5982","2019","56","1","GO","PDT","DIVULGAÇÃO MANDATO",28,173,17,4454497,35135.2,114585.3,"1"
"6504","2019","55","5","GO","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,173,17,4331733,35135.2,4000,"1"
"6008","2019","56","1","GO","PDT","TELEFONIA",28,173,17,4454497,35135.2,17484.2,"1"
"6647","2019","56","1","GO","PL","COMBUSTÍVEIS E LUBRIFICANTES",33,173,17,4454497,35135.2,144933.15,"2"
"6343","2019","55","5","GO","PL","LOCAÇÃO DE AUTOMÓVEIS",34,173,17,4331733,35135.2,10000,"1"
"6455","2019","55","5","GO","PL","TELEFONIA",34,173,17,4331733,35135.2,1085.82,"1"
"6399","2019","55","5","GO","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,173,17,4331733,35135.2,3505.44,"1"
