"","ano","mes","legislatura","uf","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"181278","2015","7","55","SE",21,1292,8,1454165,39767.4,1042.3,"14"
"196348","2015","7","55","SP",38,873,70,31998432,36671.67,9529.22,"94"
"197716","2015","7","55","SP",5,873,70,31998432,36671.67,204.9,"121"
"195763","2015","7","55","SP",9,873,70,31998432,36671.67,30000,"85"
"205251","2015","7","55","TO",21,620,8,996887,39131.75,49.85,"35"
"3831","2015","8","55","AC",21,2246,8,506724,44260.6,10536.92,"37"
"7975","2015","8","55","AL",2,1485,9,1995727,40572.24,2517.39,"45"
"11526","2015","8","55","AM",54,1932,8,2226891,43198.26,2735,"16"
"15123","2015","8","55","AP",20,1791,8,455514,43002.92,5340,"25"
"22745","2015","8","55","BA",21,1060,39,10185417,38638.99,514.75,"72"
"23831","2015","8","55","BA",54,1060,39,10185417,38638.99,6200,"97"
"32744","2015","8","55","CE",68,1687,22,6271554,42079.91,8488.42,"7"
"33749","2015","8","55","CE",68,1687,22,6271554,42079.91,4422.04,"32"
"41919","2015","8","55","DF",36,0,8,1897677,30416.8,163.25,"45"
"43909","2015","8","55","ES",1,947,10,2653536,37052.05,2631.05,"20"
"54569","2015","8","55","GO",68,173,17,4331733,35135.2,3540.22,"76"
"54611","2015","8","55","GO",68,173,17,4331733,35135.2,8746.91,"78"
"60810","2015","8","55","MA",38,1524,18,4497336,41779.83,9800,"101"
"55839","2015","8","55","MA",21,1524,18,4497336,41779.83,1052.28,"8"
"64075","2015","8","55","MG",20,624,53,15248681,35720.85,8393.82,"5"
"79411","2015","8","55","MG",54,624,53,15248681,35720.85,2577.03,"162"
"70271","2015","8","55","MG",54,624,53,15248681,35720.85,139.5,"106"
"81282","2015","8","55","MS",21,878,8,1818937,40170.98,4295.78,"25"
"87722","2015","8","55","MT",68,873,8,2189703,39056.17,3370.3,"39"
"94601","2015","8","55","PA",54,1592,17,5188450,41855.59,3775.23,"56"
"89897","2015","8","55","PA",65,1592,17,5188450,41855.59,706.69,"27"
"99106","2015","8","55","PB",65,1716,12,2835882,41660.7,202.3,"40"
"98944","2015","8","55","PB",38,1716,12,2835882,41660.7,3631.33,"38"
"109847","2015","8","55","PE",5,1657,25,6356307,41304.94,1029.64,"28"
"111755","2015","8","55","PE",34,1657,25,6356307,41304.94,373.92,"66"
"116219","2015","8","55","PI",38,1313,10,2345694,40599.91,14048.8,"7"
"125811","2015","8","55","PR",34,1081,30,7865950,38500,10169.27,"110"
"126074","2015","8","55","PR",9,1081,30,7865950,38500,2480.51,"116"
"125049","2015","8","55","PR",11,1081,30,7865950,38500,2434.96,"95"
"134095","2015","8","55","RJ",34,933,46,12141145,35388.11,55.5,"26"
"135577","2015","8","55","RJ",5,933,46,12141145,35388.11,26720.62,"54"
"135468","2015","8","55","RJ",1,933,46,12141145,35388.11,287.57,"49"
"149906","2015","8","55","RN",21,1775,8,2327451,42360.13,360,"26"
"154469","2015","8","55","RO",34,1900,8,1127154,43300.63,30229,"42"
"160399","2015","8","55","RR",38,2496,8,299558,45240.67,61.92,"49"
"163377","2015","8","55","RS",54,1619,31,8392033,40504.04,367.33,"33"
"165476","2015","8","55","RS",34,1619,31,8392033,40504.04,12840.76,"77"
"179711","2015","8","55","SC",68,1314,16,4859324,39505.92,6523.66,"83"
"178725","2015","8","55","SC",34,1314,16,4859324,39505.92,1103.9,"58"
"182713","2015","8","55","SE",68,1292,8,1454165,39767.4,6000,"51"
"195141","2015","8","55","SP",38,873,70,31998432,36671.67,788,"87"
"195259","2015","8","55","SP",68,873,70,31998432,36671.67,2877.25,"88"
"197554","2015","8","55","SP",21,873,70,31998432,36671.67,1028.05,"127"
"205804","2015","8","55","TO",38,620,8,996887,39131.75,4950,"53"
"3910","2015","9","55","AC",21,2246,8,506724,44260.6,23.92,"40"
"4995","2015","9","55","AL",38,1485,9,1995727,40572.24,1658.93,"15"
"12652","2015","9","55","AM",38,1932,8,2226891,43198.26,58.31,"47"
"16032","2015","9","55","AP",65,1791,8,455514,43002.92,889.13,"52"
"20063","2015","9","55","BA",25,1060,39,10185417,38638.99,3891.71,"13"
"24400","2015","9","55","BA",36,1060,39,10185417,38638.99,6753.17,"100"
"21135","2015","9","55","BA",21,1060,39,10185417,38638.99,5046.68,"37"
"32538","2015","9","55","CE",15,1687,22,6271554,42079.91,12050,"6"
"35900","2015","9","55","CE",11,1687,22,6271554,42079.91,10824.7,"72"
"40911","2015","9","55","DF",54,0,8,1897677,30416.8,5106.88,"21"
"43997","2015","9","55","ES",1,947,10,2653536,37052.05,550,"25"
"54508","2015","9","55","GO",1,173,17,4331733,35135.2,216.02,"70"
"53313","2015","9","55","GO",68,173,17,4331733,35135.2,1215.49,"49"
"60385","2015","9","55","MA",68,1524,18,4497336,41779.83,7000,"98"
"57217","2015","9","55","MA",65,1524,18,4497336,41779.83,13270.1,"19"
"70025","2015","9","55","MG",34,624,53,15248681,35720.85,3418.1,"91"
"77643","2015","9","55","MG",1,624,53,15248681,35720.85,1906.97,"124"
"79123","2015","9","55","MG",9,624,53,15248681,35720.85,20740,"158"
"83938","2015","9","55","MS",20,878,8,1818937,40170.98,776.93,"52"
"84984","2015","9","55","MT",21,873,8,2189703,39056.17,162.4,"17"
"90103","2015","9","55","PA",65,1592,17,5188450,41855.59,1294.92,"35"
"89424","2015","9","55","PA",9,1592,17,5188450,41855.59,359.28,"19"
"99574","2015","9","55","PB",36,1716,12,2835882,41660.7,1449.01,"56"
"97227","2015","9","55","PB",20,1716,12,2835882,41660.7,8014.66,"5"
"109483","2015","9","55","PE",5,1657,25,6356307,41304.94,396,"11"
"110700","2015","9","55","PE",5,1657,25,6356307,41304.94,691.83,"40"
"119864","2015","9","55","PI",21,1313,10,2345694,40599.91,2759.17,"68"
