"","ano","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"4963","2019","56","1","CE","PT","DIVULGAÇÃO MANDATO",54,1687,22,6344483,42079.91,220388.5,"2"
"4182","2019","55","5","CE","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1687,22,6271554,42079.91,26933,"1"
"4110","2019","55","5","CE","PT","MANUTENÇÃO DE ESCRITÓRIO",68,1687,22,6271554,42079.91,11125.82,"1"
"4964","2019","56","1","CE","PT","PASSAGEM AÉREA",54,1687,22,6344483,42079.91,560338.29,"2"
"4256","2019","55","5","CE","PT","SERVIÇOS POSTAIS",68,1687,22,6271554,42079.91,408.14,"1"
"4422","2019","55","5","CE","PT","TELEFONIA",68,1687,22,6271554,42079.91,4300.34,"1"
"4119","2019","55","5","CE","REPUBLICANOS","COMBUSTÍVEIS E LUBRIFICANTES",21,1687,22,6271554,42079.91,5934.83,"1"
"4779","2019","55","5","CE","REPUBLICANOS","DIVULGAÇÃO MANDATO",21,1687,22,6271554,42079.91,9700,"1"
"4862","2019","56","1","CE","REPUBLICANOS","LOCAÇÃO DE AUTOMÓVEIS",30,1687,22,6344483,42079.91,1549.52,"2"
"4957","2019","56","1","CE","REPUBLICANOS","PASSAGEM AÉREA",30,1687,22,6344483,42079.91,17895.1,"2"
"5031","2019","56","1","CE","REPUBLICANOS","SERVIÇOS POSTAIS",30,1687,22,6344483,42079.91,1139.68,"2"
"4114","2019","55","5","CE","REPUBLICANOS","TELEFONIA",21,1687,22,6271554,42079.91,242.55,"1"
"5370","2019","56","1","DF","PL","ASSESSORIA TÉCNICA/JURÍDICA",33,0,8,2084356,30416.8,18800,"2"
"5525","2019","55","5","DF","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,0,8,1897677,30416.8,3368.16,"1"
"5557","2019","55","5","DF","PL","TELEFONIA",34,0,8,1897677,30416.8,48.59,"1"
"5532","2019","55","5","DF","PP","MANUTENÇÃO DE ESCRITÓRIO",38,0,8,1897677,30416.8,1500,"1"
"5693","2019","56","1","DF","PP","SERVIÇOS POSTAIS",38,0,8,2084356,30416.8,269.77,"2"
"5492","2019","55","5","DF","PP","TELEFONIA",38,0,8,1897677,30416.8,632.34,"2"
"5520","2019","55","5","DF","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,0,8,1897677,30416.8,29545,"1"
"5699","2019","56","1","DF","PT","COMBUSTÍVEIS E LUBRIFICANTES",54,0,8,2084356,30416.8,19882.12,"2"
"5629","2019","55","5","DF","PT","MANUTENÇÃO DE ESCRITÓRIO",68,0,8,1897677,30416.8,300,"1"
"5676","2019","56","1","DF","PT","TELEFONIA",54,0,8,2084356,30416.8,3467.73,"2"
"5907","2019","55","5","ES","PDT","ASSESSORIA TÉCNICA/JURÍDICA",20,947,10,2653536,37052.05,10000,"1"
"6408","2019","55","5","ES","PDT","COMBUSTÍVEIS E LUBRIFICANTES",20,947,10,2653536,37052.05,4833.85,"2"
