"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"24995","2016","10","55","2","BA","PSD","ASSINATURA DE PUBLICAÇÕES",36,1060,39,10185417,38638.99,183.2,1,"317"
"8147","2016","10","55","2","MG","PT","TELEFONIA",68,624,53,15248681,35720.85,9528.88,70,"88"
"161981","2016","11","55","2","RS","PODEMOS","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",9,1619,31,8392033,40504.04,672.5,19,"1882"
"121471","2016","11","55","2","PR","PSB","DIVULGAÇÃO MANDATO",34,1081,30,7865950,38500,41235,4,"1418"
"204459","2016","11","55","2","TO","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,620,8,996887,39131.75,12,1,"2357"
"9359","2016","11","55","2","AM","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1932,8,2226891,43198.26,7550,2,"116"
"15437","2016","11","55","2","AP","PDT","DIVULGAÇÃO MANDATO",20,1791,8,455514,43002.92,23000,1,"173"
"151207","2016","11","55","2","RN","PP","MANUTENÇÃO DE ESCRITÓRIO",38,1775,8,2327451,42360.13,201.5,1,"1763"
"25742","2016","11","55","2","BA","PSDB","SERVIÇOS POSTAIS",54,1060,39,10185417,38638.99,1072.79,6,"309"
"40258","2016","11","55","2","DF","SOLIDARIEDADE","ASSESSORIA TÉCNICA/JURÍDICA",15,0,8,1897677,30416.8,16500,1,"465"
"137079","2016","11","55","2","RJ","REPUBLICANOS","TELEFONIA",21,933,46,12141145,35388.11,993.71,7,"1635"
"24027","2016","12","55","2","BA","PCdoB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",10,1060,39,10185417,38638.99,1003,4,"288"
"99684","2016","12","55","2","PB","PL","SERVIÇOS POSTAIS",34,1716,12,2835882,41660.7,1461.06,10,"1141"
