"","ano","distancia","eleitores","valor","orig.id"
"22776","2015",1314,4859324,8958.4,"2732"
"2999","2015",1060,10185417,371384,"298"
"6920","2015",173,4331733,32250,"850"
"4633","2015",1687,6271554,271.42,"591"
"35","2015",2246,506724,205811.25,"6"
"12570","2015",1592,5188450,106578.54,"1472"
"1898","2015",1791,455514,65745.5,"224"
"7649","2015",1524,4497336,128075.99,"956"
"22968","2015",1314,4859324,530.73,"2778"
"2128","2015",1791,455514,55880,"276"
"1890","2015",1791,455514,21230.77,"222"
"5484","2015",0,1897677,95000,"664"
"13103","2015",1716,2835882,64072.56,"1577"
"3670","2015",1060,10185417,234.97,"428"
"12286","2015",1592,5188450,17652.57,"1405"
"13059","2015",1716,2835882,5204.26,"1566"
"10395","2015",624,15248681,12440.65,"1199"
"22211","2015",1619,8392033,6000,"2628"
"19445","2015",1775,2327451,135.74,"2353"
"12277","2015",1592,5188450,230200,"1402"
"1450","2015",1932,2226891,173155,"176"
"18395","2015",933,12141145,30614.37,"2296"
"24255","2015",873,31998432,232849.86,"2908"
"3581","2015",1060,10185417,71500,"410"
"8362","2015",1524,4497336,22.53,"995"
"18241","2015",933,12141145,57860.32,"2255"
"22233","2015",1619,8392033,115295.5,"2634"
"1312","2015",1932,2226891,209555,"157"
"17539","2015",1081,7865950,43223.22,"2103"
"24282","2015",873,31998432,573224.75,"2915"
"22984","2015",1314,4859324,342.56,"2785"
"26599","2015",620,996887,189432,"3147"
"3765","2015",1060,10185417,113782.93,"454"
"24652","2015",873,31998432,8818.99,"3001"
"5577","2015",0,1897677,18981.44,"692"
"4166","2015",1687,6271554,47046.99,"481"
"15523","2015",1313,2345694,17915.77,"1874"
