"","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"46518","2015","2","55","1","GO","CIDADANIA","DIVULGAÇÃO MANDATO",10,173,17,4331733,35135.2,7500,"511"
"78935","2015","2","55","1","MT","PSL","TELEFONIA",1,873,8,2189703,39056.17,882.79,"883"
"178439","2015","2","55","1","SP","CIDADANIA","SERVIÇOS POSTAIS",10,873,70,31998432,36671.67,316.04,"1992"
"135666","2015","2","55","1","RN","PSD","SERVIÇOS POSTAIS",36,1775,8,2327451,42360.13,364.46,"1545"
"51292","2015","2","55","1","MA","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,1524,18,4497336,41779.83,365.98,"586"
"926","2015","2","55","1","AC","DEM","PASSAGEM AÉREA",21,2246,8,506724,44260.6,5942.81,"15"
"122216","2015","2","55","1","RJ","PSDB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",54,933,46,12141145,35388.11,365,"1421"
"33135","2015","2","55","1","CE","PDT","SERVIÇOS POSTAIS",20,1687,22,6271554,42079.91,587.2,"386"
"108847","2015","2","55","1","PR","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,1081,30,7865950,38500,2342.1,"1250"
"178074","2015","2","55","1","SP","PL","MANUTENÇÃO DE ESCRITÓRIO",34,873,70,31998432,36671.67,30004.38,"1980"
"47581","2015","2","55","1","GO","MDB","ASSINATURA DE PUBLICAÇÕES",65,173,17,4331733,35135.2,176.01,"531"
"32260","2015","2","55","1","CE","PODEMOS","TELEFONIA",9,1687,22,6271554,42079.91,137.48,"364"
"735","2015","2","55","1","AC","PT","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,2246,8,506724,44260.6,210.6,"9"
"36122","2015","2","55","1","DF","PT","TELEFONIA",68,0,8,1897677,30416.8,2601.31,"419"
"102355","2015","2","55","1","PE","CIDADANIA","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",10,1657,25,6356307,41304.94,234.67,"1158"
"20816","2015","2","55","1","BA","PATRIOTA","TELEFONIA",5,1060,39,10185417,38638.99,2002.73,"237"
"61989","2015","2","55","1","MG","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,624,53,15248681,35720.85,28733.33,"729"
"158841","2015","2","55","1","SC","MDB","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",65,1314,16,4859324,39505.92,396.9,"1756"
"160305","2015","2","55","1","SC","PT","MANUTENÇÃO DE ESCRITÓRIO",68,1314,16,4859324,39505.92,4656.82,"1789"
"84741","2015","2","55","1","PA","PTB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",25,1592,17,5188450,41855.59,2591.7,"947"
"150885","2015","2","55","1","RS","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1619,31,8392033,40504.04,2008.04,"1729"
"101218","2015","2","55","1","PE","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1657,25,6356307,41304.94,6500,"1139"
"70528","2015","2","55","1","MG","PDT","PASSAGEM AÉREA",20,624,53,15248681,35720.85,9532.14,"796"
"170320","2015","2","55","1","SP","PCdoB","PASSAGEM AÉREA",10,873,70,31998432,36671.67,8928.89,"1891"
"38754","2015","2","55","1","ES","PSL","MANUTENÇÃO DE ESCRITÓRIO",1,947,10,2653536,37052.05,1875.47,"450"
"148524","2015","2","55","1","RS","PTB","ASSESSORIA TÉCNICA/JURÍDICA",25,1619,31,8392033,40504.04,10000,"1701"
"69972","2015","2","55","1","MG","PL","PASSAGEM AÉREA",34,624,53,15248681,35720.85,21944.24,"786"
"29750","2015","2","55","1","CE","PSDB","SERVIÇOS POSTAIS",54,1687,22,6271554,42079.91,443.06,"311"
"59495","2015","2","55","1","MG","PCdoB","COMBUSTÍVEIS E LUBRIFICANTES",10,624,53,15248681,35720.85,2957.77,"705"
"147953","2015","2","55","1","RS","PT","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS",68,1619,31,8392033,40504.04,1982.75,"1686"
"80264","2015","2","55","1","PA","SOLIDARIEDADE","SERVIÇOS POSTAIS",15,1592,17,5188450,41855.59,1745.9,"916"
"108779","2015","2","55","1","PR","PT","PASSAGEM AÉREA",68,1081,30,7865950,38500,7033.42,"1245"
"47942","2015","2","55","1","GO","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,173,17,4331733,35135.2,5000,"539"
"170617","2015","2","55","1","SP","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,873,70,31998432,36671.67,22918.79,"1896"
"11297","2015","2","55","1","AM","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1932,8,2226891,43198.26,3000,"122"
"50890","2015","2","55","1","MA","PSDB","TELEFONIA",54,1524,18,4497336,41779.83,5046.58,"579"
"139163","2015","2","55","1","RO","MDB","SERVIÇOS POSTAIS",65,1900,8,1127154,43300.63,1430.37,"1591"
"100816","2015","2","55","1","PE","PCdoB","PASSAGEM AÉREA",10,1657,25,6356307,41304.94,8674.68,"1133"
"3596","2015","2","55","1","AC","DEM","TELEFONIA",21,2246,8,506724,44260.6,1014.94,"34"
"175175","2015","2","55","1","SP","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,873,70,31998432,36671.67,7559.85,"1928"
"100622","2015","2","55","1","PE","PSD","SERVIÇOS POSTAIS",36,1657,25,6356307,41304.94,11390,"1126"
"47876","2015","2","55","1","GO","PL","SERVIÇOS POSTAIS",34,173,17,4331733,35135.2,131.03,"538"
"75638","2015","2","55","1","MT","PT","PASSAGEM AÉREA",68,873,8,2189703,39056.17,6752.46,"861"
"89357","2015","2","55","1","PB","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1716,12,2835882,41660.7,8000,"1042"
"35522","2015","2","55","1","DF","PL","TELEFONIA",34,0,8,1897677,30416.8,314.57,"406"
"29683","2015","2","55","1","CE","MDB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",65,1687,22,6271554,42079.91,1139.6,"309"
"53051","2015","2","55","1","MA","PT","TELEFONIA",68,1524,18,4497336,41779.83,1174.12,"619"
"29890","2015","2","55","1","CE","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1687,22,6271554,42079.91,1245.28,"314"
"78469","2015","3","55","1","MT","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,873,8,2189703,39056.17,550,"949"
"50891","2015","3","55","1","MA","PV","TELEFONIA",8,1524,18,4497336,41779.83,2677.56,"634"
"183786","2015","3","55","1","TO","DEM","TELEFONIA",21,620,8,996887,39131.75,4290.69,"2209"
"14197","2015","3","55","1","AP","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1791,8,455514,43002.92,4499.89,"170"
"48966","2015","3","55","1","GO","MDB","SERVIÇOS POSTAIS",65,173,17,4331733,35135.2,1523.78,"615"
"19508","2015","3","55","1","BA","REPUBLICANOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1060,39,10185417,38638.99,272.25,"225"
"10735","2015","3","55","1","AM","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,1932,8,2226891,43198.26,6500,"117"
"112156","2015","3","55","1","PR","PTB","PASSAGEM AÉREA",25,1081,30,7865950,38500,13831.79,"1407"
"98821","2015","3","55","1","PE","PP","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",38,1657,25,6356307,41304.94,1654.49,"1165"
"62044","2015","3","55","1","MG","DEM","LOCAÇÃO DE AUTOMÓVEIS",21,624,53,15248681,35720.85,9980,"794"
"137707","2015","3","55","1","RO","PL","DIVULGAÇÃO MANDATO",34,1900,8,1127154,43300.63,11100,"1706"
"46866","2015","3","55","1","GO","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,173,17,4331733,35135.2,9000,"569"
"113802","2015","3","55","1","PR","DEM","PASSAGEM AÉREA",21,1081,30,7865950,38500,5252.97,"1437"
"124969","2015","3","55","1","RJ","PCdoB","PASSAGEM AÉREA",10,933,46,12141145,35388.11,11614.92,"1604"
"101221","2015","3","55","1","PE","PODEMOS","SERVIÇOS POSTAIS",9,1657,25,6356307,41304.94,120.67,"1225"
"74761","2015","3","55","1","MS","PDT","MANUTENÇÃO DE ESCRITÓRIO",20,878,8,1818937,40170.98,6246.01,"906"
"33979","2015","3","55","1","CE","PODEMOS","ASSESSORIA TÉCNICA/JURÍDICA",9,1687,22,6271554,42079.91,14000,"433"
"20290","2015","3","55","1","BA","PSDB","MANUTENÇÃO DE ESCRITÓRIO",54,1060,39,10185417,38638.99,2861.31,"241"
"161044","2015","3","55","1","SC","PP","LOCAÇÃO DE AUTOMÓVEIS",38,1314,16,4859324,39505.92,4500,"1952"
"163510","2015","3","55","1","SE","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1292,8,1454165,39767.4,10000,"1991"
