"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"87465",186001,"2015","2","55","1","MT","REPUBLICANOS","DIVULGAÇÃO MANDATO",21,873,8,2189703,39056.17,1750,1,"5"
"94248",31202,"2015","2","55","1","PA","CIDADANIA","MANUTENÇÃO DE ESCRITÓRIO",10,1592,17,5188450,41855.59,4615.91,3,"4"
"95292",85695,"2015","2","55","1","PA","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1592,17,5188450,41855.59,4485.83,4,"6"
"89649",180429,"2015","2","55","1","PA","MDB","MANUTENÇÃO DE ESCRITÓRIO",65,1592,17,5188450,41855.59,5229.12,11,"5"
"94264",198294,"2015","2","55","1","PA","PL","TELEFONIA",34,1592,17,5188450,41855.59,1771.01,11,"4"
"95635",59166,"2015","2","55","1","PA","PODEMOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",9,1592,17,5188450,41855.59,1135.93,6,"4"
"94787",122748,"2015","2","55","1","PA","PP","TELEFONIA",38,1592,17,5188450,41855.59,522.01,5,"4"
"95979",142008,"2015","2","55","1","PA","PSC","TELEFONIA",13,1592,17,5188450,41855.59,581.59,4,"7"
"94331",63735,"2015","2","55","1","PA","PSD","MANUTENÇÃO DE ESCRITÓRIO",36,1592,17,5188450,41855.59,10928.64,6,"4"
"96644",161680,"2015","2","55","1","PA","PSDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",54,1592,17,5188450,41855.59,464.73,1,"8"
"94476",46493,"2015","2","55","1","PA","PSOL","TELEFONIA",5,1592,17,5188450,41855.59,221.02,5,"4"
"94649",46148,"2015","2","55","1","PA","PT","TELEFONIA",68,1592,17,5188450,41855.59,4346.29,25,"4"
"96384",18146,"2015","2","55","1","PA","PTB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",25,1592,17,5188450,41855.59,7294,1,"8"
"95046",10237,"2015","2","55","1","PA","SOLIDARIEDADE","PASSAGEM AÉREA",15,1592,17,5188450,41855.59,18342.78,18,"2"
"98687",193964,"2015","2","55","1","PB","DEM","COMBUSTÍVEIS E LUBRIFICANTES",21,1716,12,2835882,41660.7,4442.3,6,"3"
"99285",66309,"2015","2","55","1","PB","MDB","SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.",65,1716,12,2835882,41660.7,170,1,"7"
"99010",58883,"2015","2","55","1","PB","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,1716,12,2835882,41660.7,5900,1,"3"
"97898",27009,"2015","2","55","1","PB","PL","SERVIÇOS POSTAIS",34,1716,12,2835882,41660.7,399.67,11,"3"
"98533",45330,"2015","2","55","1","PB","PP","COMBUSTÍVEIS E LUBRIFICANTES",38,1716,12,2835882,41660.7,935,10,"5"
"97785",200127,"2015","2","55","1","PB","PSB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",34,1716,12,2835882,41660.7,657.2,8,"3"
"98809",53243,"2015","2","55","1","PB","PSD","LOCAÇÃO DE AUTOMÓVEIS",36,1716,12,2835882,41660.7,9500,2,"2"
"97488",202057,"2015","2","55","1","PB","PSDB","LOCAÇÃO DE AUTOMÓVEIS",54,1716,12,2835882,41660.7,3300,1,"1"
"98087",32650,"2015","2","55","1","PB","PT","ASSESSORIA TÉCNICA/JURÍDICA",68,1716,12,2835882,41660.7,6000,1,"2"
"100821",179047,"2015","2","55","1","PB","PTB","PASSAGEM AÉREA",25,1716,12,2835882,41660.7,7717.15,20,"10"
"98340",39845,"2015","2","55","1","PB","REPUBLICANOS","PASSAGEM AÉREA",21,1716,12,2835882,41660.7,6941.65,12,"2"
"113783",65002,"2015","2","55","1","PE","AVANTE","COMBUSTÍVEIS E LUBRIFICANTES",2,1657,25,6356307,41304.94,8882,6,"6"
"109794",113151,"2015","2","55","1","PE","CIDADANIA","COMBUSTÍVEIS E LUBRIFICANTES",10,1657,25,6356307,41304.94,1999.14,15,"1"
"111520",128760,"2015","2","55","1","PE","DEM","ASSESSORIA TÉCNICA/JURÍDICA",21,1657,25,6356307,41304.94,15585,4,"4"
"111053",153878,"2015","2","55","1","PE","MDB","TELEFONIA",65,1657,25,6356307,41304.94,288.59,5,"2"
"113963",65326,"2015","2","55","1","PE","PATRIOTA","PASSAGEM AÉREA",5,1657,25,6356307,41304.94,5373.42,18,"7"
"112243",170159,"2015","2","55","1","PE","PCdoB","PASSAGEM AÉREA",10,1657,25,6356307,41304.94,8674.68,18,"6"
"110090",5051,"2015","2","55","1","PE","PDT","TELEFONIA",20,1657,25,6356307,41304.94,4548.46,21,"3"
"109910",74335,"2015","2","55","1","PE","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1657,25,6356307,41304.94,4498.42,14,"1"
"115035",25750,"2015","2","55","1","PE","PODEMOS","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",9,1657,25,6356307,41304.94,828.65,11,"7"
"111982",150708,"2015","2","55","1","PE","PP","DIVULGAÇÃO MANDATO",38,1657,25,6356307,41304.94,3000,1,"5"
