"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"134823",64627,"2015","5","55","1","RJ","PSB","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,933,46,12141145,35388.11,268.44,1,"37"
"150681",112472,"2015","5","55","1","RN","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,1775,8,2327451,42360.13,21300,2,"41"
"154446",124910,"2015","5","55","1","RO","MDB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",65,1900,8,1127154,43300.63,760.54,14,"43"
"159095",58874,"2015","5","55","1","RR","MDB","SERVIÇOS POSTAIS",65,2496,8,299558,45240.67,140.78,6,"19"
"166083",36606,"2015","5","55","1","RS","PT","DIVULGAÇÃO MANDATO",68,1619,31,8392033,40504.04,37940.68,8,"87"
"162160",205061,"2015","5","55","1","RS","PTB","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",25,1619,31,8392033,40504.04,287.4,9,"9"
"176293",51107,"2015","5","55","1","SC","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1314,16,4859324,39505.92,3579.67,30,"10"
"176210",17851,"2015","5","55","1","SC","MDB","ASSINATURA DE PUBLICAÇÕES",65,1314,16,4859324,39505.92,5873.97,12,"9"
"181426",195525,"2015","5","55","1","SE","PSD","COMBUSTÍVEIS E LUBRIFICANTES",36,1292,8,1454165,39767.4,4417.72,25,"14"
"198886",157427,"2015","5","55","1","SP","PL","TELEFONIA",34,873,70,31998432,36671.67,9255.73,58,"167"
"197967",162829,"2015","5","55","1","SP","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,873,70,31998432,36671.67,4496.82,40,"150"
"193975",18454,"2015","5","55","1","SP","PSL","COMBUSTÍVEIS E LUBRIFICANTES",1,873,70,31998432,36671.67,3332.58,24,"47"
"204806",74851,"2015","5","55","1","TO","DEM","MANUTENÇÃO DE ESCRITÓRIO",21,620,8,996887,39131.75,2395.36,4,"33"
"265",165603,"2015","6","55","1","AC","PSB","DIVULGAÇÃO MANDATO",34,2246,8,506724,44260.6,2000,1,"5"
"7743",180742,"2015","6","55","1","AL","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1485,9,1995727,40572.24,570,7,"31"
"12321",72584,"2015","6","55","1","AM","PSDB","ASSESSORIA TÉCNICA/JURÍDICA",54,1932,8,2226891,43198.26,8500,1,"36"
"15978",10345,"2015","6","55","1","AP","MDB","DIVULGAÇÃO MANDATO",65,1791,8,455514,43002.92,12000,2,"48"
"25751",35047,"2015","6","55","1","BA","PDT","PASSAGEM AÉREA",20,1060,39,10185417,38638.99,3851.25,28,"139"
"21509",18477,"2015","6","55","1","BA","PTB","PASSAGEM AÉREA",25,1060,39,10185417,38638.99,6225.25,26,"35"
"33750",203483,"2015","6","55","1","CE","PTB","COMBUSTÍVEIS E LUBRIFICANTES",25,1687,22,6271554,42079.91,4900,1,"21"
"32608",20103,"2015","6","55","1","CE","PROS","LOCAÇÃO DE AUTOMÓVEIS",11,1687,22,6271554,42079.91,3000,1,"4"
"41180",143750,"2015","6","55","1","DF","PODEMOS","LOCAÇÃO DE AUTOMÓVEIS",9,0,8,1897677,30416.8,5500,1,"20"
"45027",20413,"2015","6","55","1","ES","PDT","LOCAÇÃO DE AUTOMÓVEIS",20,947,10,2653536,37052.05,3000,1,"52"
"53367",98273,"2015","6","55","1","GO","CIDADANIA","MANUTENÇÃO DE ESCRITÓRIO",10,173,17,4331733,35135.2,117.96,1,"54"
"51905",191727,"2015","6","55","1","GO","MDB","ASSESSORIA TÉCNICA/JURÍDICA",65,173,17,4331733,35135.2,7600,2,"19"
"57259",42659,"2015","6","55","1","MA","PCdoB","MANUTENÇÃO DE ESCRITÓRIO",10,1524,18,4497336,41779.83,4083.15,3,"21"
"59115",164593,"2015","6","55","1","MA","CIDADANIA","MANUTENÇÃO DE ESCRITÓRIO",10,1524,18,4497336,41779.83,1518.76,2,"64"
